排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
170,3264,欣銓,268.5,24.0,9.82,09/18,-0.08,0.83,0.73,0.62,0.4,1.98,2.46,3.18,0.28,7.89,5.13,-1.17
171,6727,亞泰金屬,487.0,16.5,3.51,09/18,0.04,-0.53,-0.44,0.61,-0.43,-0.86,-3.98,-8.78,-12.8,0.67,,-5.66
172,6274,台燿,1370.0,50.0,3.79,09/18,0.23,0.6,0.73,0.61,1.84,1.24,-0.45,2.92,5.99,8.01,6.8,8.13
173,2412,中華電,145.5,0.5,0.34,09/18,0.1,0.23,0.3,0.61,0.93,1.01,1.07,0.46,0.57,1.52,-4.59,0.9
174,6620,漢達,149.0,2.0,1.36,09/18,0.32,0.49,0.55,0.6,1.44,2.15,1.56,0.71,,,,0.47
175,6442,光聖,1575.0,65.0,4.3,09/18,0.26,-0.28,-0.01,0.59,0.02,0.79,-2.71,-4.56,-5.69,3.77,1.57,-1.18
176,6668,中揚光,49.25,4.45,9.93,09/18,0.02,0.91,0.7,0.59,0.47,0.68,-0.14,0.03,0.08,-0.3,,-0.07
177,00666R,富邦恒生國企反1,9.28,-0.08,-0.85,09/18,-0.01,0.65,0.65,0.59,-0.52,-5.68,-3.51,-3.97,1.2,4.87,8.07,-0.49
178,3176,基亞,38.2,-1.7,-4.26,09/18,-0.13,0.45,0.37,0.59,0.79,2.42,3.66,2.85,2.92,3.0,2.6,2.71
179,00676R,富邦臺灣加權反1,5.33,-0.11,-2.02,09/18,0.21,0.6,0.57,0.58,0.56,0.57,0.62,0.56,0.58,11.3,,0.57
180,2377,微星,155.0,2.0,1.31,09/18,0.04,0.25,0.37,0.58,-0.27,2.54,6.05,4.04,-4.3,-19.9,-19.8,1.0
181,6937,天虹,303.5,12.5,4.3,09/18,0.44,0.47,0.64,0.58,0.78,1.02,2.52,3.51,2.62,,,2.13
182,009813,貝萊德標普卓越50,11.36,0.09,0.8,09/18,0.08,0.09,0.13,0.57,-0.2,-0.18,1.94,14.1,,,,20.5
183,7714,創泓科技,179.5,5.5,3.16,09/18,0.3,0.12,0.0,0.57,1.1,0.75,-0.21,-0.42,-0.33,,,-1.17
184,1569,濱川,55.5,3.5,6.73,09/18,0.36,0.56,0.74,0.57,0.83,1.2,1.44,0.68,0.24,-3.55,-2.34,1.3
185,6605,帝寶,139.0,3.0,2.21,09/18,0.13,0.48,0.45,0.56,0.68,0.86,0.38,-1.31,-0.62,-7.13,1.59,-1.63
186,3090,日電貿,165.0,5.0,3.12,09/18,0.31,0.29,0.44,0.56,-1.0,-2.53,-2.05,0.13,0.25,-1.33,4.56,1.97
187,2436,偉詮電,67.9,0.3,0.44,09/18,-0.03,0.34,0.78,0.55,0.13,-1.87,1.85,1.09,7.87,3.91,8.82,9.04
188,6651,全宇昕,146.5,-0.5,-0.34,09/18,0.1,0.27,0.4,0.55,0.7,1.42,2.29,2.78,4.18,5.77,,2.76
