排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
136,2634,漢翔,65.0,3.0,4.84,09/16,1.74,2.85,6.31,16.9,47.9,13.1,-7.14,22.9,1.81,-14.6
137,00740B,富邦全球投等債,36.79,0.12,0.33,09/16,0.0,-6.4,-6.4,16.7,12.4,17.2,-54.7,-37.8,-4.92,-50.8
138,00746B,富邦A級公司債,33.94,0.09,0.27,09/16,16.7,16.7,16.7,16.7,16.7,16.7,-19.6,-29.4,62.3,5.44
139,2442,新美齊,14.15,-0.3,-2.08,09/16,2.47,4.73,8.57,16.7,27.5,33.4,30.3,73.8,61.4,107.0
140,2546,根基,106.5,1.0,0.95,09/16,1.12,5.66,7.55,16.1,12.9,20.2,11.1,121.0,115.0,224.0
141,4707,磐亞,26.75,0.6,2.29,09/16,5.79,7.52,11.1,16.0,48.8,50.2,113.0,588.0,1068.0,608.0
142,2491,吉祥全,40.55,0.6,1.5,09/16,0.0,3.18,15.4,15.9,15.4,6.18,12.3,63.1,,50.5
143,00891,中信關鍵半導體,34.99,0.45,1.3,09/16,2.5,4.46,5.41,15.6,1.1,-3.54,65.8,196.0,73.9,292.0
144,00403A,主動統一升級50,10.02,0.07,0.7,09/16,0.01,1.16,8.95,15.4,16.5,34.0,29.7,,,
145,00985D,主動貝萊德優投等,9.72,0.01,0.1,09/16,0.0,5.37,6.33,15.4,310.0,1039.0,2421.0,,,
146,00852L,國泰美國道瓊正2,33.96,0.0,0.0,09/16,0.0,0.0,15.2,15.2,15.2,15.2,-92.0,-92.4,-93.7,-92.4
147,1723,中碳,80.1,-1.2,-1.48,09/16,2.65,5.48,8.61,15.1,22.4,1.84,-29.7,-53.7,-27.1,-55.2
148,00938,凱基優選30,26.87,0.23,0.86,09/16,7.14,15.1,15.1,15.1,18.3,-0.47,-2.1,12.9,25.4,51.1
149,2467,志聖,519.0,3.0,0.58,09/16,2.22,0.73,6.02,15.0,13.0,-17.5,-23.7,-48.7,-90.2,-71.0
150,6231,系微,211.5,6.0,2.92,09/16,-0.36,3.33,6.58,14.1,18.1,19.6,-25.7,-32.8,-12.4,-36.3
151,2399,映泰,47.3,1.3,2.83,09/16,4.83,7.33,9.53,13.8,22.0,0.96,-3.94,6.27,166.0,-13.1
152,3303,岱稜,48.35,0.0,0.0,09/16,0.53,1.91,1.97,13.7,11.6,2.52,82.4,104.0,142.0,118.0
153,7777,能率亞洲,36.85,1.5,4.24,09/16,0.73,3.36,5.2,13.6,28.1,79.9,99.0,240.0,,
154,4714,永捷,11.45,0.35,3.15,09/16,-0.14,2.63,8.05,13.5,14.2,4.95,25.5,4.43,71.3,18.6
155,3645,達邁,68.5,1.7,2.54,09/16,-0.14,0.41,1.0,13.5,54.0,82.5,33.1,-6.89,-36.0,6.49
156,2357,華碩,939.0,11.0,1.19,09/16,3.3,5.53,10.2,13.4,10.4,-8.86,-58.6,-58.1,212.0,-29.4
157,9105,泰金寶-DR,8.44,0.02,0.24,09/16,2.08,5.74,11.0,13.4,8.21,-0.6,15.8,-30.0,-14.7,-39.6
158,3105,穩懋,472.5,18.5,4.07,09/16,5.19,10.2,10.2,13.3,25.5,30.5,51.4,252.0,79.1,166.0
159,4905,台聯電,78.2,1.7,2.22,09/16,0.0,0.0,0.0,13.3,30.8,21.4,70.0,88.9,88.9,88.9
160,8131,福懋科,58.9,1.4,2.43,09/16,0.24,4.12,7.42,13.2,11.6,7.59,223.0,14.6,521.0,40.6
161,8932,智通*,89.3,3.5,4.08,09/16,1.99,5.6,8.08,13.1,32.7,29.6,168.0,1166.0,1114.0,343.0
162,4137,麗豐-KY,76.8,0.2,0.26,09/16,3.23,5.05,7.51,13.0,31.6,55.8,170.0,282.0,199.0,259.0
163,2618,長榮航,41.3,0.1,0.24,09/16,0.93,5.84,7.16,12.9,31.9,54.5,-84.3,-64.8,-28.5,-75.7
164,2609,陽明,60.2,1.4,2.38,09/16,5.28,4.95,13.6,12.9,-81.3,-93.0,-93.9,-96.6,-97.4,-97.2
165,3346,麗清,19.75,0.45,2.33,09/16,1.24,3.13,4.15,12.9,12.8,-20.5,-16.2,-3.79,117.0,96.0
166,8358,金居,510.0,28.0,5.81,09/16,3.36,9.73,13.1,12.9,9.0,44.0,315.0,85.7,44.1,134.0
167,3622,洋華,45.25,0.45,1.0,09/16,0.69,2.56,5.51,12.7,13.4,33.3,52.0,157.0,314.0,269.0
168,6284,佳邦,75.8,0.8,1.07,09/16,1.13,2.94,4.39,12.7,17.4,20.0,87.9,52.8,137.0,-27.0
169,5904,寶雅*,73.6,0.6,0.82,09/16,2.23,4.1,6.29,12.6,33.1,363.0,5178.0,4425.0,5062.0,3948.0
170,8064,東捷,118.5,10.5,9.72,09/16,0.44,5.05,6.44,12.6,39.5,30.0,80.2,359.0,16.5,108.0
171,2851,中再保,46.35,-0.15,-0.32,09/16,10.8,15.0,13.5,12.5,7.99,33.9,-0.29,-5.23,-77.9,-56.0
172,6887,寶綠特-KY,37.05,-0.1,-0.27,09/16,12.5,12.5,12.5,12.5,12.5,12.5,-65.4,-59.1,,-62.5
173,1528,恩德,24.95,0.3,1.22,09/16,1.06,2.62,4.23,12.5,17.1,4.84,-1.19,63.4,120.0,-11.9
174,6161,捷波,48.45,0.75,1.57,09/16,0.3,1.21,1.51,12.4,15.1,-1.61,5.5,69.4,571.0,85.9
175,6265,方土昶,48.6,1.5,3.18,09/16,-1.94,-0.11,0.87,12.1,21.7,-10.1,6.27,31.3,204.0,21.1
176,6672,騰輝電子-KY,304.0,13.0,4.47,09/16,4.03,10.6,11.1,12.0,59.1,27.3,-1.85,127.0,20.4,69.7
177,3490,單井,44.8,2.8,6.67,09/16,13.8,41.3,39.4,11.9,10.3,-35.5,-12.6,37.9,126.0,22.7
178,2364,倫飛,64.0,0.0,0.0,09/16,1.01,-4.32,-2.92,11.8,35.7,-0.5,-23.7,-33.8,-3.16,-17.2
179,6691,洋基工程,618.0,10.0,1.64,09/16,0.41,0.41,5.53,11.7,14.6,37.6,91.6,78.6,55.4,108.0
180,2243,宏旭-KY,47.85,0.4,0.84,09/16,0.0,0.0,5.5,11.7,13.9,27.1,32.9,,-51.3,490.0
181,6112,邁達特,49.7,1.55,3.22,09/16,6.34,10.5,11.8,11.6,8.12,-1.96,-11.9,8.61,-30.1,-3.38
182,4438,廣越,55.6,-0.7,-1.24,09/16,6.79,6.49,9.9,11.5,0.88,-7.07,-53.1,-48.3,-25.7,-44.3
183,4953,緯致,121.0,0.0,0.0,09/16,3.82,9.24,12.9,11.5,27.4,16.2,4.41,-9.18,7.72,-4.73
184,4442,竣邦-KY,56.0,-0.6,-1.06,09/16,4.9,0.94,2.88,11.5,48.6,75.4,206.0,18.9,0.0,106.0
185,00875,國泰網路資安,56.9,0.75,1.34,09/16,21.2,21.2,21.2,11.2,11.2,25.7,-11.5,-32.7,-24.9,-25.9
186,3149,正達,61.3,1.9,3.2,09/16,1.6,3.29,8.38,11.2,32.1,38.2,16.4,106.0,206.0,13.9
187,5202,力新,13.95,-0.2,-1.41,09/16,2.54,6.2,8.83,11.1,11.6,-8.84,-1.65,32.9,-57.9,-37.3
188,8028,昇陽半導體,233.0,6.5,2.87,09/16,3.52,4.26,3.81,11.0,29.3,5.68,22.2,-36.5,-49.4,-70.1
189,4924,欣厚-KY,14.5,1.0,7.41,09/16,0.0,0.0,10.9,10.9,10.9,22.0,455.0,,,
190,00954,中信日本半導體,17.54,0.09,0.52,09/16,0.0,2.49,9.67,10.8,10.7,10.2,9.38,-4.95,0.09,38.7
191,6488,環球晶,937.0,23.0,2.52,09/16,1.48,5.72,7.39,10.7,26.5,155.0,85.4,9.9,-10.4,58.2
192,5328,華容,52.7,1.2,2.33,09/16,4.79,8.42,12.1,10.7,3.22,12.9,-13.8,58.4,399.0,-11.5
193,00406A,主動中信台灣收益,9.34,0.06,0.65,09/16,14.8,17.3,31.1,10.7,28.5,258.0,368330.0,,,
194,6914,阜爾運通,119.5,0.0,0.0,09/16,0.65,2.97,6.48,10.6,44.4,47.9,42.5,66.8,209.0,158.0
195,009816,凱基台灣TOP50,15.89,0.14,0.89,09/16,2.79,2.96,3.62,10.6,-13.8,-39.6,-57.1,-14.9,,
196,6021,美好證,44.9,0.7,1.58,09/16,0.85,-2.07,3.96,10.5,-3.47,-10.4,21.3,43.3,167.0,81.2
197,1537,廣隆,115.0,1.0,0.88,09/16,3.21,3.87,6.27,10.5,45.0,75.0,54.1,28.3,-49.3,-34.9
198,4938,和碩,89.0,0.7,0.79,09/16,2.7,4.72,5.95,10.4,11.2,9.9,-35.8,247.0,674.0,101.0
199,8043,蜜望實,132.0,3.5,2.72,09/16,1.2,3.89,8.26,10.4,41.6,172.0,51.3,205.0,258.0,235.0
200,3434,哲固,30.95,-1.55,-4.77,09/16,2.67,6.94,9.22,10.4,8.07,-26.7,-49.7,-57.4,-67.5,-62.0
201,6139,亞翔,707.0,-6.0,-0.84,09/16,1.5,2.81,6.67,10.4,4.12,43.3,602.0,647.0,251.0,580.0
202,0050,元大台灣50,106.9,0.65,0.61,09/16,7.89,7.84,10.2,10.4,7.79,-1.93,39.9,19.4,50.0,73.7
