股票代號,股票名稱,法人持股,上榜區塊,累積衰退
1514,亞力,12.444932657548314,"30日衰退,5日衰退,20日衰退",-0.3545965231886008
1515,力山,4.98860522335217,"5日衰退,10日衰退",-0.4201735239580424
1526,日馳,2.7623599999999997,5日衰退,-0.52
1540,喬福,1.7395812550895826,20日衰退,-0.7194254558939197
1597,直得,7.650160861637974,10日衰退,-1.0760226055928692
1708,東鹼,9.926597230192662,"30日衰退,20日衰退",-0.7352937305624536
1710,東聯,4.830822308534749,"30日衰退,20日衰退",-1.1728941741826198
1711,永光,5.25767145366197,"5日衰退,10日衰退",-0.6517984208794427
1714,和桐,17.06872115455293,"20日衰退,5日衰退,10日衰退,30日衰退",-0.6267899049365191
1718,中纖,6.28619611365047,"20日衰退,10日衰退",-2.155890661461622
1720,生達,5.039693555576362,5日衰退,-0.3544344662741894
1722,台肥,7.324283265306121,"5日衰退,10日衰退",-0.49434265306122604
1732,毛寶,3.2430068087195547,5日衰退,-0.41764395200004545
1733,五鼎,3.6539439452002256,5日衰退,-0.33501744148725576
1734,杏輝,5.431446447561723,20日衰退,-0.7894742287269292
1773,勝一,6.5042539999999995,20日衰退,-1.1460590000000002
1802,台玻,4.816839448473704,30日衰退,-2.220673732818791
1809,中釉,1.7570499397405814,10日衰退,-1.0134374601391267
2101,南港,6.649908302494358,"5日衰退,10日衰退",-0.9380312299740412
2105,正新,5.680301401356646,5日衰退,-0.4222361218176136
2211,長榮鋼,7.818096526037024,5日衰退,-0.36511041919839116
2231,為升,3.5079159456866154,"5日衰退,20日衰退",-0.3401778927929109
2236,百達-KY,52.646049748840255,"20日衰退,5日衰退,10日衰退,30日衰退",-0.45565449865136287
2241,艾姆勒,8.349961976172876,"20日衰退,10日衰退,30日衰退",-1.7656234976311147
2243,宏旭-KY,28.7577671764341,"30日衰退,20日衰退",-1.2806288219512219
2303,聯電,28.85663225428385,"20日衰退,10日衰退,30日衰退",-0.7117302803209995
2305,全友,3.2510228462710598,"20日衰退,10日衰退,30日衰退",-1.1507121368329414
2316,楠梓電,35.88968372381265,5日衰退,-0.43849331644731393
2327,國巨*,52.859442971571426,"20日衰退,5日衰退,10日衰退,30日衰退",-1.1653173086036972
2332,友訊,8.883842716718979,"30日衰退,20日衰退",-3.7626276976433033
2337,旺宏,25.051546952180832,30日衰退,-3.099323989785699
2338,光罩,5.603610793566903,30日衰退,-2.2459801034911946
2340,台亞,9.668828452177797,30日衰退,-1.6307621284277545
2344,華邦電,28.194009010316947,30日衰退,-2.803759842247633
2345,智邦,59.26086889620275,5日衰退,-0.37195774575338447
2363,矽統,7.077604247896487,"30日衰退,5日衰退",-0.3487054897364903
2368,金像電,23.490721795504662,"20日衰退,5日衰退,10日衰退,30日衰退",-0.768578594772471
2369,菱生,16.27527602113393,"30日衰退,20日衰退",-1.2526119649501517
2375,凱美,12.57760723992806,"20日衰退,5日衰退,10日衰退,30日衰退",-3.0379266075225484
2382,廣達,31.525147245905334,5日衰退,-0.37205421403466943
2387,精元,9.544544033722001,5日衰退,-0.4409679845462122
2388,威盛,17.52956963310809,5日衰退,-0.8397918007351635
2393,億光,10.217023392602021,"30日衰退,20日衰退",-0.9373568282478821
2404,漢唐,22.94868535127252,"30日衰退,20日衰退",-1.0596772339274203
2406,國碩,9.106870650050931,"20日衰退,5日衰退,10日衰退,30日衰退",-1.1292313388797766
2409,友達,10.834417910702339,5日衰退,-0.7846260862577168
2413,環科,4.805372583998643,30日衰退,-1.299701505662723
2414,精技,4.721116169510129,"5日衰退,10日衰退",-0.33844143777502467
2417,圓剛,2.787006937284574,"5日衰退,10日衰退",-0.56
2421,建準,33.17325069235105,5日衰退,-0.42500971666324006
2425,承啟,4.405906108126844,"20日衰退,5日衰退,10日衰退,30日衰退",-4.405407198248856
2426,鼎元,6.956681439137113,"30日衰退,5日衰退,20日衰退",-0.8765892995838511
