排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
264,1229,聯華,40.1,0.1,0.25,09/24,0.08,0.03,0.02,0.12,0.68,0.41,0.57,0.26,0.2,0.26,0.54,0.21
265,6788,華景電,339.0,3.0,0.89,09/24,0.0,0.0,0.28,0.12,0.06,0.73,0.27,0.19,0.17,0.12,,0.22
266,6278,台表科,212.0,3.0,1.44,09/24,0.82,0.21,0.14,0.12,0.1,0.16,3.46,5.09,5.86,5.85,2.92,5.67
267,00988A,主動統一全球創新,16.91,-0.04,-0.24,09/24,0.86,0.35,0.18,0.12,0.19,0.08,1.49,0.83,,,,0.77
268,2515,中工,11.95,0.0,0.0,09/24,0.0,0.0,0.0,0.12,0.55,0.32,0.26,0.13,0.06,0.07,0.07,0.07
269,6257,矽格,243.0,-4.0,-1.62,09/24,0.0,0.01,0.23,0.11,0.56,1.0,2.34,3.25,3.9,4.27,2.28,3.06
270,8028,昇陽半導體,269.0,11.0,4.26,09/24,0.0,0.0,0.0,0.11,0.62,1.13,3.0,1.21,0.65,0.19,,1.12
271,6789,采鈺,465.5,-2.5,-0.53,09/24,0.23,0.29,0.15,0.1,4.67,1.63,0.93,0.44,0.43,0.84,,0.37
272,2211,長榮鋼,79.6,-0.8,-1.0,09/24,0.17,0.11,0.06,0.1,0.89,0.77,0.44,2.93,3.02,9.93,,3.21
273,1102,亞泥,35.7,-0.25,-0.7,09/24,0.1,0.04,0.07,0.1,0.82,0.7,10.8,9.41,9.29,10.9,6.31,9.31
274,0050,元大台灣50,112.4,-0.05,-0.04,09/24,0.0,0.0,0.0,0.1,0.07,0.27,0.16,0.14,0.24,0.44,0.53,0.19
275,8070,長華*,49.7,0.15,0.3,09/24,0.28,0.17,0.1,0.09,0.97,0.72,1.81,6.74,3.78,1.4,0.81,6.29
276,6525,捷敏-KY,133.5,0.5,0.38,09/24,0.42,0.14,0.1,0.09,2.48,1.01,0.16,0.16,0.15,0.12,1.44,0.15
277,3033,威健,41.8,0.2,0.48,09/24,0.28,0.1,0.07,0.08,0.05,0.86,0.28,0.17,0.4,0.92,0.51,0.18
278,1319,東陽,78.9,0.1,0.13,09/24,0.32,0.12,0.07,0.08,1.14,1.16,5.37,9.13,7.51,6.71,3.74,7.94
279,8112,至上,83.5,0.9,1.09,09/24,0.38,0.26,0.13,0.08,0.04,0.07,0.47,0.92,0.36,0.24,0.13,0.84
280,2105,正新,30.1,0.0,0.0,09/24,0.23,0.1,0.06,0.08,0.13,3.38,4.27,2.56,8.45,7.64,4.0,8.3
281,6691,洋基工程,667.0,21.0,3.25,09/24,0.0,0.0,0.0,0.08,3.73,2.1,1.09,2.0,1.66,5.67,,2.09
282,3030,德律,270.0,5.5,2.08,09/24,0.0,0.09,0.06,0.08,0.05,0.07,0.04,0.6,2.21,1.37,0.96,0.44
283,1590,亞德客-KY,1210.0,-20.0,-1.63,09/24,0.0,0.0,0.03,0.07,0.08,0.38,3.28,2.28,1.69,1.99,2.07,1.86
284,8114,振樺電,177.5,2.5,1.43,09/24,0.44,0.18,0.12,0.06,7.38,5.92,0.99,0.55,0.35,0.14,0.06,0.41
285,6182,合晶,120.5,5.0,4.33,09/24,0.0,0.0,0.02,0.06,0.05,0.05,0.99,0.64,0.52,1.17,0.98,0.56
286,3010,華立,126.0,1.0,0.8,09/24,0.22,0.15,0.09,0.06,0.87,0.41,3.93,7.35,4.57,4.96,2.81,5.45
287,2049,上銀,325.5,2.0,0.62,09/24,0.0,0.0,0.0,0.06,0.05,2.38,2.2,1.22,0.88,1.77,1.55,0.98
288,2633,台灣高鐵,25.55,-0.05,-0.2,09/24,0.0,0.0,0.0,0.06,0.04,0.07,1.19,0.72,0.65,2.08,,0.65
289,2838,聯邦銀,21.0,-0.2,-0.94,09/24,0.43,0.18,0.13,0.06,0.03,0.05,0.14,0.14,2.49,1.06,0.72,3.28
290,4961,天鈺,180.5,2.0,1.12,09/24,0.23,0.2,0.1,0.05,0.02,0.04,0.52,0.4,3.54,5.03,,1.04
291,1513,中興電,166.0,0.5,0.3,09/24,0.0,0.0,0.0,0.05,0.15,0.94,2.14,0.93,0.91,0.49,0.76,0.91
292,00919,群益台灣精選高息,31.83,-0.23,-0.72,09/24,0.0,0.0,0.09,0.05,0.17,0.23,0.1,0.04,0.02,0.01,,0.02
293,5483,中美晶,188.5,4.0,2.17,09/24,0.13,0.06,0.04,0.05,0.06,0.5,1.31,1.71,2.25,4.91,2.53,1.89
294,2002,中鋼,18.65,0.0,0.0,09/24,0.04,0.07,0.07,0.05,1.64,1.08,0.29,4.84,3.15,3.03,2.31,3.31
295,2834,臺企銀,17.85,-0.05,-0.28,09/24,0.05,0.01,0.01,0.04,1.09,0.95,0.55,0.39,0.35,0.97,0.48,0.34
296,5876,上海商銀,48.95,-0.3,-0.61,09/24,0.1,0.04,0.02,0.04,0.89,2.46,5.38,4.78,10.3,9.21,,6.02
297,3006,晶豪科,275.0,1.0,0.36,09/24,0.31,0.13,0.08,0.04,0.02,0.03,0.25,0.16,0.08,0.22,0.49,0.11
298,5425,台半,94.5,-1.2,-1.25,09/24,0.21,0.07,0.05,0.04,0.02,0.04,0.07,0.06,0.28,0.82,2.3,0.27
299,1101,台泥,25.25,-0.4,-1.56,09/24,0.03,0.03,0.04,0.04,0.17,0.08,0.22,0.16,0.42,3.15,2.96,0.17
300,4915,致伸,64.1,-0.3,-0.47,09/24,0.15,0.07,0.04,0.03,0.01,0.05,2.33,4.66,6.74,9.65,3.82,5.25
