排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
189,2731,雄獅,143.5,0.5,0.35,09/21,30.0,48.1,55.8,50.7,43.1,40.6,38.6,39.4,36.8,28.0,22.4,39.1
190,2913,農林,11.05,0.15,1.38,09/21,32.9,63.2,55.8,53.1,45.1,42.2,33.2,31.0,31.8,29.6,20.1,31.3
191,8938,明安,52.4,2.0,3.97,09/21,28.3,65.2,55.8,50.5,41.5,22.2,25.0,28.8,12.3,4.33,0.41,19.1
192,5538,東明-KY,35.3,-0.15,-0.42,09/21,69.6,59.2,55.7,60.7,42.8,29.6,18.1,16.8,19.1,20.1,15.8,18.1
193,3592,瑞鼎,225.5,1.0,0.45,09/21,42.0,56.5,55.6,50.7,46.9,61.9,43.1,37.3,38.2,40.2,,38.8
194,2345,智邦,1840.0,-15.0,-0.81,09/21,43.9,59.8,55.4,60.0,56.5,53.0,57.0,54.6,50.8,52.5,38.5,52.4
195,2886,兆豐金,51.1,0.0,0.0,09/21,35.1,56.6,55.4,58.4,51.8,38.9,51.8,54.7,54.2,51.2,48.7,54.0
196,2027,大成鋼,46.65,-0.7,-1.48,09/21,69.3,65.4,55.2,52.0,42.9,46.2,37.0,32.3,36.3,32.6,23.2,33.2
197,2801,彰銀,28.45,-0.5,-1.73,09/21,44.1,58.3,55.1,56.7,53.2,51.7,52.5,49.1,48.7,41.7,41.2,48.7
198,2382,廣達,344.5,1.5,0.44,09/21,55.8,67.8,54.9,55.9,57.5,53.9,54.4,51.0,47.9,40.4,41.9,49.2
199,2395,研華,706.0,16.0,2.32,09/21,35.1,63.9,54.8,53.3,57.9,57.7,56.1,53.5,54.8,63.3,67.6,52.0
200,1909,榮成,10.15,0.0,0.0,09/21,52.6,58.4,54.7,58.3,52.1,46.5,38.0,36.3,35.9,35.4,21.0,36.6
201,6781,AES-KY,1010.0,0.0,0.0,09/21,51.3,58.0,54.6,52.6,45.8,35.6,30.6,29.7,30.4,30.5,,29.1
202,1402,遠東新,27.85,-0.25,-0.89,09/21,42.5,62.4,54.6,50.4,42.4,49.3,42.1,53.6,53.0,53.0,47.1,52.8
203,6277,宏正,79.3,0.4,0.51,09/21,51.1,36.8,54.6,58.0,49.7,51.7,30.4,29.1,28.6,27.2,25.6,29.1
204,4974,亞泰,71.4,-0.4,-0.56,09/21,53.2,60.0,54.6,49.0,23.9,19.4,25.9,25.1,29.6,22.5,13.0,28.6
205,6515,穎崴,5795.0,-640.0,-9.95,09/21,43.1,52.5,54.4,52.4,49.7,48.8,45.1,41.7,38.6,30.4,,42.0
206,8163,達方,30.4,0.55,1.84,09/21,26.4,53.7,54.3,48.5,48.5,44.1,43.4,31.7,22.7,8.24,1.41,29.0
