股票代號,股票名稱,法人持股,上榜區塊
3406,玉晶光,41.953117292901645,120日
3413,京鼎,27.181651237226248,"60日,20日,120日"
3450,聯鈞,25.64326058095742,120日
3501,維熹,4.011692064160739,20日
3515,華擎,7.473470468820396,"5日,20日"
3528,安馳,6.26,"60日,120日"
3532,台勝科,47.50620360331604,"5日,20日"
3533,嘉澤,56.06683920498791,"60日,20日,120日"
3535,晶彩科,2.27,5日
3550,聯穎,9.04720130172013,"5日,60日,120日"
3576,聯合再生,12.529896854357384,"5日,120日"
3583,辛耘,29.405631199431262,"5日,20日,120日"
3588,通嘉,6.2,"60日,20日,120日"
3591,艾笛森,8.1,"60日,20日,120日"
3596,智易,36.587216318122486,"60日,20日"
3605,宏致,16.199105844315145,"60日,20日,120日"
3645,達邁,12.727703365279284,"5日,120日"
3652,精聯,2.27,20日
3653,健策,33.637380547211386,20日
3661,世芯-KY,56.30516197964191,120日
3665,貿聯-KY,52.21412775109577,"5日,120日"
3702,大聯大,30.73200870390993,120日
3704,合勤控,14.911962714821172,"60日,5日,20日,120日"
3706,神達,13.52642091077764,"60日,120日"
3708,上緯投控,8.527655952012534,120日
3714,富采,11.983671611934653,"5日,20日"
3717,聯嘉投控,6.76,"60日,20日,120日"
4106,雃博,2.47,5日
4155,訊映,2.49,"5日,20日"
4169,泰宗,7.47,20日
4306,炎洲,7.09,"60日,120日"
4526,東台,8.02,"60日,20日"
4532,瑞智,18.038708647865896,20日
4540,全球傳動,3.86,5日
4551,智伸科,55.890083703444795,"60日,5日,20日,120日"
4571,鈞興-KY,64.40817243544844,"60日,120日"
4576,大銀微系統,5.64419892554579,120日
4590,富田-創,4.01,"60日,5日,20日"
4722,國精化,9.82469807213148,"60日,5日,20日,120日"
4737,華廣,28.53,120日
4746,台耀,11.548365418104048,20日
4755,三福化,24.599847278215798,120日
4764,雙鍵,31.720033568748903,"5日,20日,120日"
4766,南寶,15.457510240872624,20日
4771,望隼,8.37,"60日,20日,120日"
4927,泰鼎-KY,6.237971688076684,5日
4934,太極,4.53,"60日,20日"
4952,凌通,6.57451719114067,5日
4958,臻鼎-KY,67.24195277280116,5日
4961,天鈺,16.97076664352811,"60日,5日,20日,120日"
4989,榮科,5.763268590797415,"20日,120日"
5258,虹堡,6.030906085226703,"5日,20日"
5269,祥碩,14.762834729964107,"60日,20日"
5285,界霖,7.93753029367844,"60日,120日"
5388,中磊,20.634255773745885,"60日,5日,20日"
5434,崇越,33.004635972691084,"20日,120日"
5469,瀚宇博,15.577799640452026,20日
5871,中租-KY,40.83040825974104,120日
5876,上海商銀,52.90226600100477,5日
6116,彩晶,4.570337256524573,5日
6120,達運,10.226928650179637,120日
6133,金橋,2.92,5日
6136,富爾特,3.09,5日
6142,友勁,2.74,5日
6155,鈞寶,9.2,5日
6164,華興,8.46,"60日,5日,20日,120日"
6165,浪凡,18.38,"60日,120日"
6166,凌華,21.33855266289204,"60日,120日"
6168,宏齊,3.8970840068609234,"60日,20日"
6191,精成科,13.218681321762537,20日
6196,帆宣,13.006763417081512,"60日,120日"
6202,盛群,18.07990719142734,"60日,5日,20日,120日"
6205,詮欣,2.3787839861728526,"5日,20日"
6206,飛捷,13.201053998256032,"60日,120日"
6213,聯茂,20.582592898253253,"60日,20日,120日"
6214,精誠,13.556931619628468,"5日,60日,120日"
6224,聚鼎,5.93,20日
6226,光鼎,10.66,"60日,5日,20日,120日"
6243,迅杰,3.06,20日
