排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (萬元),2日 增減 (萬元),3日 增減 (萬元),5日 增減 (萬元),10日 增減 (萬元),1個月 增減 (萬元),3個月 增減 (萬元),半年 增減 (萬元),1年 增減 (萬元),今年 增減 (萬元)
217,3141,晶宏,102.0,-0.5,-0.49,09/07,-1098.0,-1171.0,-2490.0,-3245,-6210.0,-7933.0,-9002.0,325.0,7904.0,1049.0
218,3441,聯一光,131.0,-12.0,-8.39,09/07,-94.5,-122.0,-1023.0,-3223,-3632.0,220.0,2330.0,3216.0,3571.0,3555.0
219,3543,州巧,44.4,-0.3,-0.67,09/07,-345.0,-341.0,-1403.0,-3182,-4211.0,-3083.0,-1154.0,4547.0,5919.0,2360.0
220,1215,卜蜂,111.0,0.5,0.45,09/07,144.0,-437.0,-832.0,-3170,-15290.0,-15730.0,-91765.0,128399.0,176936.0,132722.0
221,5464,霖宏,76.4,6.9,9.93,09/07,68.5,-3642.0,-3356.0,-3138,-9123.0,-3981.0,516.0,1427.0,1336.0,1334.0
222,00735,國泰臺韓科技,106.85,2.8,2.69,09/07,-10.6,-948.0,-959.0,-3084,-2934.0,1147.0,16233.0,26913.0,30716.0,30316.0
223,6670,復盛應用,276.0,0.5,0.18,09/07,412.0,439.0,992.0,-3080,-3878.0,-9451.0,5024.0,16479.0,13187.0,1423.0
224,6271,同欣電,232.5,-4.5,-1.9,09/07,685.0,-1601.0,-6743.0,-3008,-644.0,-826.0,22414.0,-1965.0,27660.0,13078.0
225,3551,世禾,180.5,-1.5,-0.82,09/07,-728.0,-836.0,-2077.0,-3005,-3694.0,-8169.0,-14013.0,-3863.0,3664.0,10968.0
226,1304,台聚,12.2,-0.15,-1.21,09/07,-548.0,-593.0,-513.0,-3002,-4200.0,-3187.0,-2664.0,35418.0,39720.0,37064.0
227,1727,中華化,91.0,-3.7,-3.91,09/07,1061.0,1329.0,1430.0,-2999,-2470.0,-3453.0,-12501.0,3113.0,-6805.0,-3651.0
228,1736,喬山,126.0,0.5,0.4,09/07,-113.0,-75.9,72.1,-2931,-14104.0,-23534.0,-8907.0,1592.0,-10077.0,-3704.0
229,3707,漢磊,61.2,-0.8,-1.29,09/07,-1154.0,-257.0,27.2,-2928,-9646.0,-18732.0,43414.0,22688.0,-12461.0,20910.0
230,6803,崑鼎,271.5,1.0,0.37,09/07,-460.0,-676.0,-676.0,-2921,-2597.0,-1142.0,3860.0,17260.0,18954.0,17489.0
231,2034,允強,20.9,-0.2,-0.95,09/07,-294.0,-559.0,-704.0,-2920,-8454.0,-12872.0,-21020.0,-20810.0,763.0,-8894.0
232,6202,盛群,59.0,0.2,0.34,09/07,159.0,-643.0,-2143.0,-2903,-6984.0,-4409.0,-18019.0,-20043.0,-13126.0,-22978.0
233,8926,台汽電,57.9,0.4,0.7,09/07,28.9,-657.0,-134.0,-2778,-3171.0,26859.0,167459.0,168673.0,166639.0,167207.0
234,6933,AMAX-KY,313.0,-4.0,-1.26,09/07,-31.2,-31.2,-2576.0,-2768,-4076.0,-4576.0,-3757.0,-3389.0,-488.0,-2890.0
